                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2703,                 2.5846,                 1.2376,                0.56752,                0.17095,                0.18696,                0.11339,                 1.2284,                 3.0419,                 1.1512,             0.00054304,             0.00054304,             0.00054304
                      2,                 1.2509,                 1.6746,                 1.1808,                0.54023,                0.55244,                0.50659,                0.31352,                 1.3419,                 1.8993,                 1.2342,              0.0010878,              0.0010878,              0.0010878
                      3,                 1.2181,                 1.4411,                 1.1775,                 0.7051,                0.52661,                0.55052,                0.31651,                 1.4614,                 1.5101,                 1.3547,              0.0016216,              0.0016216,              0.0016216
                      4,                  1.267,                 1.3465,                 1.2127,                0.52697,                0.43752,                0.41105,                0.25089,                 1.4201,                  2.397,                 1.3145,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2478,                 1.2238,                 1.1893,                0.65311,                0.63106,                0.67107,                0.40193,                 1.3372,                 1.4725,                 1.2935,               0.001601,               0.001601,               0.001601
                      6,                 1.2275,                 1.1275,                 1.1788,                0.74088,                0.66453,                0.73176,                0.45051,                 1.2707,                 1.2274,                 1.2134,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.2166,                 1.0966,                  1.194,                0.76772,                0.68542,                0.76527,                0.46915,                  1.245,                 1.3029,                  1.203,               0.001568,               0.001568,               0.001568
                      8,                 1.1795,                 1.0345,                 1.1648,                0.73046,                0.66571,                0.73858,                0.46886,                  1.269,                  1.176,                  1.215,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1505,                0.98635,                 1.1526,                0.77579,                0.69781,                0.76578,                0.47284,                 1.2639,                 1.6059,                 1.1952,               0.001535,               0.001535,               0.001535
                     10,                  1.165,                0.96623,                 1.1428,                0.78564,                0.74948,                0.77799,                 0.4723,                 1.2889,                 1.0425,                 1.1979,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1679,                 0.9479,                 1.1466,                0.77724,                0.68112,                0.76198,                0.47834,                 1.2622,                 1.2076,                 1.1976,               0.001502,               0.001502,               0.001502
